date,open,close,high,low,volume
2002-06-06,1.850084900856018,1.850084900856018,1.850084900856018,1.850084900856018,175942
2002-06-09,1.850084900856018,1.850084900856018,1.850084900856018,1.850084900856018,0
2002-06-10,1.8389955759048462,1.8389955759048462,1.8389955759048462,1.8389955759048462,260025
2002-06-11,1.8316029310226438,1.831602931022644,1.8316029310226438,1.8316029310226438,43256
2002-06-12,1.8371472358703613,1.8371472358703613,1.8371472358703613,1.8371472358703613,117861
2002-06-13,1.90738046169281,1.90738046169281,1.90738046169281,1.90738046169281,499637
2002-06-16,1.90738046169281,1.90738046169281,1.90738046169281,1.90738046169281,0
2002-06-17,1.90738046169281,1.90738046169281,1.90738046169281,1.90738046169281,0
2002-06-18,1.90738046169281,1.90738046169281,1.90738046169281,1.90738046169281,0
2002-06-19,1.9221665859222412,1.9221665859222412,1.9221665859222412,1.9221665859222412,172540
2002-06-20,1.8981391191482544,1.8981391191482544,1.8981391191482544,1.8981391191482544,229162
2002-06-23,1.8981391191482544,1.8981391191482544,1.8981391191482544,1.8981391191482544,0
2002-06-24,1.8648706674575806,1.8648706674575806,1.8648706674575806,1.8648706674575806,65856
2002-06-25,1.8870499134063718,1.887049913406372,1.8870499134063718,1.8870499134063718,85540
2002-06-26,1.8759605884552002,1.8759605884552002,1.8759605884552002,1.8759605884552002,99878
2002-06-27,1.8796569108963013,1.8796569108963013,1.8796569108963013,1.8796569108963013,25273
2002-06-30,1.8796569108963013,1.8796569108963013,1.8796569108963013,1.8796569108963013,0
2002-07-01,1.8796569108963013,1.8796569108963013,1.8796569108963013,1.8796569108963013,0
2002-07-02,1.883353590965271,1.883353590965271,1.883353590965271,1.883353590965271,79708
2002-07-03,1.8611743450164793,1.8611743450164795,1.8611743450164793,1.8611743450164793,283111
2002-07-04,1.848236322402954,1.848236322402954,1.848236322402954,1.848236322402954,174484
2002-07-07,1.848236322402954,1.848236322402954,1.848236322402954,1.848236322402954,0
2002-07-08,1.8870499134063718,1.887049913406372,1.8870499134063718,1.8870499134063718,126610
2002-07-09,1.8852015733718872,1.8852015733718872,1.8852015733718872,1.8852015733718872,49817
2002-07-10,1.892594814300537,1.892594814300537,1.892594814300537,1.892594814300537,144836
2002-07-11,1.9572829008102417,1.9572829008102417,1.9572829008102417,1.9572829008102417,454922
2002-07-14,1.9572829008102417,1.9572829008102417,1.9572829008102417,1.9572829008102417,0
2002-07-15,2.1051414012908936,2.1051414012908936,2.1051414012908936,2.1051414012908936,497693
2002-07-16,2.0053369998931885,2.0053369998931885,2.0053369998931885,2.0053369998931885,302309
2002-07-17,2.0386054515838623,2.0386054515838623,2.0386054515838623,2.0386054515838623,557717
2002-07-18,1.936952471733093,1.9369524717330933,1.936952471733093,1.936952471733093,396842
2002-07-21,1.936952471733093,1.9369524717330933,1.936952471733093,1.936952471733093,0
2002-07-22,1.9720686674118042,1.9720686674118042,1.9720686674118042,1.9720686674118042,166221
2002-07-23,1.9720686674118042,1.9720686674118042,1.9720686674118042,1.9720686674118042,0
2002-07-24,1.9406487941741943,1.9406487941741943,1.9406487941741943,1.9406487941741943,109356
2002-07-25,1.960979700088501,1.960979700088501,1.960979700088501,1.960979700088501,112758
2002-07-28,1.960979700088501,1.960979700088501,1.960979700088501,1.960979700088501,0
2002-07-29,1.9332560300827026,1.9332560300827026,1.9332560300827026,1.9332560300827026,52248
2002-07-30,1.9295598268508911,1.9295598268508911,1.9295598268508911,1.9295598268508911,69016
2002-07-31,1.9683723449707031,1.9683723449707031,1.9683723449707031,1.9683723449707031,189065
2002-08-01,1.981310248374939,1.981310248374939,1.981310248374939,1.981310248374939,139733
2002-08-04,1.981310248374939,1.981310248374939,1.981310248374939,1.981310248374939,0
2002-08-05,2.023819923400879,2.023819923400879,2.023819923400879,2.023819923400879,292103
2002-08-06,2.023819923400879,2.023819923400879,2.023819923400879,2.023819923400879,0
2002-08-07,1.9628275632858276,1.9628275632858276,1.9628275632858276,1.9628275632858276,94775
2002-08-08,1.9720686674118042,1.9720686674118042,1.9720686674118042,1.9720686674118042,28675
2002-08-11,1.9720686674118042,1.9720686674118042,1.9720686674118042,1.9720686674118042,0
2002-08-12,1.9461935758590698,1.9461935758590698,1.9461935758590698,1.9461935758590698,70231
2002-08-13,1.9461935758590698,1.9461935758590698,1.9461935758590698,1.9461935758590698,70231
2002-08-14,1.9388009309768677,1.9388009309768677,1.9388009309768677,1.9388009309768677,40583
2002-08-15,1.9332560300827026,1.9332560300827026,1.9461936356806209,1.9461936356806209,49331
2002-08-18,1.9332560300827026,1.9332560300827026,1.9332560300827026,1.9332560300827026,0
2002-08-19,1.9277112483978271,1.9277112483978271,1.9277112483978271,1.9277112483978271,184204
2002-08-20,1.9277112483978271,1.9277112483978271,1.9277112483978271,1.9277112483978271,51519
2002-08-21,1.924014687538147,1.924014687538147,1.924014687538147,1.924014687538147,47630
2002-08-22,1.9332560300827026,1.9332560300827026,1.93695239703765,1.93695239703765,116403
2002-08-25,1.9332560300827026,1.9332560300827026,1.9332560300827026,1.9332560300827026,0
2002-08-26,1.9332560300827026,1.9332560300827026,1.9332560300827026,1.9332560300827026,47873
2002-08-27,1.9720686674118042,1.9720686674118042,1.9720686674118042,1.9720686674118042,201458
2002-08-28,1.9517384767532349,1.9517384767532349,1.9517384767532349,1.9517384767532349,77035
2002-08-29,1.9332560300827026,1.9332560300827026,1.940648978162999,1.940648978162999,105711
2002-09-01,1.9332560300827026,1.9332560300827026,1.9332560300827026,1.9332560300827026,0
2002-09-02,1.9480416774749756,1.9480416774749756,1.9480416774749756,1.9480416774749756,160146
2002-09-03,1.9314079284667969,1.9314079284667969,1.9314079284667969,1.9314079284667969,95018
2002-09-04,1.9203181266784668,1.9203181266784668,1.9203181266784668,1.9203181266784668,86513
2002-09-05,1.9332561220137652,1.9018360376358032,1.9332561220137652,1.9018360376358032,142649
2002-09-08,1.9018360376358032,1.9018360376358032,1.9018360376358032,1.9018360376358032,0
2002-09-09,1.8870499134063718,1.887049913406372,1.8870499134063718,1.8870499134063718,99392
2002-09-10,1.8981391191482544,1.8981391191482544,1.8981391191482544,1.8981391191482544,83596
2002-09-11,1.8999881744384766,1.8999881744384766,1.8999881744384766,1.8999881744384766,21871
2002-09-12,1.9332561220137652,1.9018360376358032,1.9332561220137652,1.9018360376358032,41555
2002-09-15,1.9018360376358032,1.9018360376358032,1.9018360376358032,1.9018360376358032,0
2002-09-16,1.9129254817962646,1.9129254817962646,1.9129254817962646,1.9129254817962646,107412
2002-09-17,1.8999881744384766,1.8999881744384766,1.8999881744384766,1.8999881744384766,38639
2002-09-18,1.8944430351257324,1.8944430351257324,1.8944430351257324,1.8944430351257324,49088
2002-09-19,1.9332561084953437,1.887049913406372,1.9332561084953437,1.8870499134063718,67557
2002-09-22,1.8870499134063718,1.887049913406372,1.8870499134063718,1.8870499134063718,0
2002-09-23,1.8962912559509277,1.8962912559509277,1.8962912559509277,1.8962912559509277,39611
2002-09-24,1.892594814300537,1.892594814300537,1.892594814300537,1.892594814300537,60996
2002-09-25,1.8870499134063718,1.887049913406372,1.8870499134063718,1.8870499134063718,32806
2002-09-26,1.9332561543425548,1.883353590965271,1.9332561543425548,1.883353590965271,81652
2002-09-29,1.883353590965271,1.883353590965271,1.883353590965271,1.883353590965271,0
2002-09-30,1.8944430351257324,1.8944430351257324,1.8944430351257324,1.8944430351257324,136573
